,,"Second Semester, 2024 - 2025",,,,,,,,,,,,,,
,,ITEOJT (IT) - IT Internship On-the-Job Training,,,,,,,,,,,,,,
fullname,workplace,Memorandum of agreement (MOA),Internship Agreement,parents consent,Endorsement (submitted date by the student),pledge of good conduct,resume,application letter ,medical certificate ,weekly acomplisment report ,January total hours,February Total Hours,March Total hours,April Total Hours,May Total Hours,total points
Instructor: Prof. Carlos Garcia,,,,,,,,,,,,,,,,
Section: BSIT4A,,,,,,,,,,,,,,,,
Allem Planilla,Glendale Comp Inc.,?,?,?,1/3/2025,?,?,?,?,?,75.25,95.75,110.5,148.5,170,50
Althea Alexis Perocho,Glendale Comp Inc.,?,?,?,1/4/2025,?,?,?,?,?,80,100,120,140,160,20
Brock E. Togle,TechLite,?,?,?,12/18/2024,?,?,?,?,?,80.5,99.5,120.5,139.5,160,13
Christian Louise Mellizo,ComputerGo,?,?,?,1/23/2025,?,?,?,?,?,60.5,100.25,130.75,150,158.5,47
Cris Neil John Hulleza,iTech,?,?,?,1/13/2025,?,?,?,?,?,90.5,99.25,110.75,139.5,160,22
Cyril Bajilidad,CompTechnology,?,?,?,1/18/2025,?,?,?,?,?,50.5,89.75,120.25,160,179.5,34
,,,,,,,,,,,,,,,,
Instructor: Prof. Ana Rodriguez,,,,,,,,,,,,,,,,
Section: BSIT4B,,,,,,,,,,,,,,,,
Aila D. Monterosa,Glendale Comp Inc.,?,?,?,1/17/2025,?,?,?,?,?,159,70.5,110.25,119.75,140.5,40
Angelica Joy G. Cortina,CHMSU CCS office,?,?,?,1/3/2025,?,?,?,?,?,55.5,95.25,125.75,150,173.5,60
Dan Vincent Canoy,LM Computer Repair,?,?,?,1/3/2025,?,?,?,?,?,75,105,115,145,160,32
Dancharl Mondia,RootLabs IT services,?,?,?,1/18/2025,?,?,?,?,?,40,80,120,160,200,41
Edison D. Tenacio,RootLabs IT services,?,?,?,1/23/2025,?,?,?,?,?,85.5,104.25,114.75,145.5,150,33
Elyza Aligaen,Jegabytes Computer Center,?,?,?,1/6/2025,?,?,?,?,?,40.5,79.75,130.25,170,179.5,48
