school_id,first_name,email,section,role,gender ,facebook,contact,password,year
FKA11130200,Felix Kirk Amante ,Felix@gmail.com,BSIT4B,student,male,Felix Kirk,9154465895,FKA11130200,2025
GKU02020300,Vash  Morquin ,Vashie@gmail.com,BSIT4B,student,male,Vash,9461123564,GKU02020300,2025
RGA01180300,Renz Anne Gallero ,SailorGallero@gmail.com,BSIT4B,student,female,Renzeyy,9468516552,RGA01180300,2025
SLD01130300,Sen Elizabeth Layante ,Senny@gmail.com,BSIT4B,student,female,Sen Elizabeth,9092653645,SLD01130300,2025
CMD01320300,Christian Louise Mellizo ,Christian12@gmail.com,BSIT4B,student,male,Christian Mellizo,9216645235,CMD01320300,2025
JAD01020400,John Paul Amar,Amar@gmail.com,BSIT4B,student,male,John Amar,9485511326,JAD01020400,2025
POC01230300,Oscar Pillado ,PilladoOscar2@gmail.com,BSIT4B,student,male,Pillado Oscar,9264515466,POC01230300,2025
HMD24020300,Jeremaia Robante,Robante35@gmail.com,BSIT4B,student,male,Robante Jery,9265545855,HMD24020300,2025
RKD01020000,Kyla Marie Rolan,Rolankyla1@gmail.com,BSIT4B,student,female,Kyla Marie Rolan,9461152364,RKD01020000,2025
AES01050300,Elyza Aligaen,Aligaen@gmail.com,BSIT4B,student,female,Elyza,9293564155,AES01050300,2025
FPA07090300,Pia Julianne Fernandez,Fernandez18@gmail.com,BSIT4B,student,female,Pia Fernandez,9293564166,FPA07090300,2025
LDB04020300,Diomed Latonero ,Latonero334@gmail.com,BSIT4B,student,male,Diomed latonero,9091642566,LDB04020300,2025
SSC04060300,Sheila Solizar,SheilaG4@gmail.com,BSIT4B,student,female,Sheila Solizar,9264458163,SSC04060300,2025
AKR01320400,Karl John Ambos,Ambos36@gmail.com,BSIT4B,student,male,Karl Ambos,9465516859,AKR01320400,2025
PAD04120300,Althea Alexis Perocho,Altheaxis@gmail.com,BSIT4B,student,female,Althea,9264455186,PAD04120300,2025
FKR0820300,Kyshia Francisco,Kryshia@gmail.com,BSIT4B,student,female,Kyshia Francisco,9293615648,FKR0820300,2025
NRR09270300,Rica Nicor,Ricanicor@gmail.com,BSIT4B,student,female,Rica Nicor,9245685456,NRR09270300,2025
LCH00614300,Luz Clarence,Clarence.11@gmail.com,BSIT4B,student,male,Luz Clarenze,9265456321,LCH00614300,2025
NNO0260300,Noeme Nasis,NasisNoems@gmail.com,BSIT4B,student,female,Noeme Nasis,9123456652,NNO0260300,2025
DKJ12160300,Kim Diaz,Diaz46@gmail.com,BSIT4B,student,male,Kim Diaz,9468516426,DKJ12160300,2025
LBJ01270300,Bryan Joseph Langa,Langaa@gmail.com,BSIT4B,student,female,Bryan Slayer,9293561456,LBJ01270300,2025
HCF01140300,Cris Neil John Hulleza,Cris.exe@gmail.com,BSIT4B,student,male,Cris Neil,9564841426,HCF01140300,2025
CDG01310300,Darwin Carl Cortez,Cortezz@gmail.com,BSIT4B,student,male,Yui Darcy,9293366545,CDG01310300,2025
DRD02300300,Rassel Delfin,Rassel@gmail.com,BSIT4B,student,male,Rassel Delfin,9164526859,DRD02300300,2025
CDT08090100,Dan Vincent Canoy,Canoy34@gmail.com,BSIT4B,student,male,Dan Canoy,9293561645,CDT08090100,2025
